from,to,realtionship ,time ,rang ,AK,price_money
koalb,nyc2024,1,02:08:00,3,30,40.000
totam,nyc2024,1,02:08:12,4,30,25.000
kageo,nyc2024,1,02:08:50,5,30,15.000
chshe,nyc2024,1,02:24:35,1,30,100.000
obhel,nyc2024,1,02:24:49,2,30,60.000
chviv,nyc2024,1,02:25:21,3,40,40.000
cheun,nyc2024,1,02:25:58,4,30,25.000
scfab,nyc2024,1,02:26:31,5,30,15.000
totam,nyc2023,1,02:04:58,1,30,100.000
koalb,nyc2023,1,02:06:57,2,H,60.000
shkit,nyc2023,1,02:07:11,3,H,40.000
naabd,nyc2023,1,02:10:21,4,30,25.000
konae,nyc2023,1,02:10:25,5,30,15.000
obhel,nyc2023,1,02:27:23,1,30,100.000
gilet,nyc2023,1,02:27:29,2,H,60.000
losha,nyc2023,1,02:27:33,3,H,40.000
kobri,nyc2023,1,02:27:45,4,H,25.000
ngmar,nyc2023,1,02:27:53,5,30,15.000
kijac,chicago2025,1,02:02:23,1,24,100.000
kiamo,chicago2025,1,02:03:54,2,33,75.000
maale,chicago2025,1,02:04:37,3,28,50.000
macon,chicago2025,1,02:04:43,4,28,30.000
eshus,chicago2025,1,02:04:49,5,24,25.000
fehaw,chicago2025,1,02:14:57,1,26,100.000
almeg,chicago2025,1,02:17:18,2,27,75.000
shmag,chicago2025,1,02:18:03,3,29,50.000
chloi,chicago2025,1,02:18:24,4,28,30.000
ngmar,chicago2025,1,02:19:26,5,36,25.000
kojoh,chicago2024,1,02:02:44,1,27,100.000
eshus,chicago2024,1,02:04:39,2,24,75.000
kiamo,chicago2024,1,02:04:50,3,31,50.000
ngvin,chicago2024,1,02:05:16,4,25,30.000
ebdan,chicago2024,1,02:06:04,5,29,25.000
chrut,chicago2024,1,02:09:56,1,30,100.000
kesut,chicago2024,1,02:17:32,2,29,75.000
chiri,chicago2024,1,02:17:51,3,32,50.000
dibuz,chicago2024,1,02:20:22,4,30,30.000
jejoy,chicago2024,1,02:20:51,5,30,25.000
kikel,chicago2023,1,02:00:35,1,23,100.000
kiben,chicago2023,1,02:04:02,2,32,75.000
abbas,chicago2023,1,02:04:32,3,34,50.000
kojoh,chicago2023,1,02:05:09,4,26,30.000
tuabd,chicago2023,1,02:05:29,5,26,25.000
hasif,chicago2023,1,02:13:44,1,30,100.000
chrut,chicago2023,1,02:15:37,2,29,75.000
almeg,chicago2023,1,02:17:09,3,25,50.000
jejoy,chicago2023,1,02:17:23,4,29,30.000
tenar,chicago2023,1,02:20:04,5,22,25.000
sasab,london2025,1,02:02:27,1,30,55000
kijac,london2025,1,02:03:37,2,H,30000
muale,london2025,1,02:04:20,3,H,22500
naabd,london2025,1,02:04:20,4,35,15.000
totam ,london2025,1,02:04:42,5,30,10.000
astig,london2025,1,02:15:50,1,H,55000
jejoy,london2025,1,02:18:43,2,30,30000
hasif,london2025,1,02:18:59,3,30,22500
dehav ,london2025,1,02:19:17,4,H,15.000
chviv ,london2025,1,02:22:32,5,40,10.000
muale,london2024,1,02:04:01,1,H,55.000
beken,london2024,1,02:04:15,2,40,30.000
