id,name ,type ,sex ,country ,club 
rejoe, Joel Reichow,1,m,USA, Minnesota Distance Elite
okfio, Fiona O'Keeffe,1,w,USA,no
frann, Annie Frisbie,1,w,USA,no
kikel," Kelvin Kiptum,",1,m,KEN,no
tuabd,Seifu Tura Abdiwak,1,m,ETH,no
chrut,Ruth Chepngetich,1,w,KEN,no
almeg, Megertu Alemu,1,w,ETH,no
jejoy,Joyciline Jepkosgei,1,w,KEN,no
tenar, Tadu Teshome Nare,1,w,ETH,Nedbank Running Club
eshus, Huseydin Mohamed Esa,1,m,ETH,NN Running Team
kiamo,Amos Kipruto,1,m,KEN,2 Running Club
ngvin,Vincent Ngetich,1,m,KEN,no
ebdan, Daniel Ebenyo,1,m,KEN,no
chiri,Irine Cheptai,1,w,KEN,no
maale,"Alex Masai,",1,m,KEN,no
chloi,Loice Chemnung,1,w,KEN,no
beken,Kenenisa Bekele,1,m,ETH,no
caemi,Emile Cairess,1,m,GBR,no
meale,Alemu Megertu,1,w,ETH,no
kijac,Jacob Kiplimo,1,m,UGA,no
mamah,Mahamed Mahamed,1,m,ETH,no
chhas,Hasan Chadi,1,m,FRA,no
dehav,"Haven Desse,",1,w,ETH,no
