from,to,realtionship ,time ,rang ,AK,price_money
chshe,NYC2025,1,02:20:24,3,30,40.000
okfio,NYC2025,1,02:22:49,4,H,25.000
frann,NYC2025,1,02:24:12,5,H,15.000
naabd,NYC2024,1,02:07:39,1,35,100.000
cheva,NYC2024,1,02:07:45,2,35,60.000
koalb,NYC2024,1,02:08:00,3,30,40.000
tatol,NYC2024,1,02:08:12,4,30,25.000
kageo,NYC2024,1,02:08:50,5,30,15.000
chshe,NYC2024,1,02:24:35,1,30,100.000
obhel,NYC2024,1,02:24:49,2,30,60.000
chviv,NYC2024,1,02:25:21,3,40,40.000
cheun,NYC2024,1,02:25:58,4,30,25.000
scfab,NYC2024,1,02:26:31,5,30,15.000
tatol,NYC2023,1,02:04:58,1,30,100.000
koalb,NYC2023,1,02:06:57,2,H,60.000
shkit,NYC2023,1,02:07:11,3,H,40.000
abnag,NYC2023,1,02:10:21,4,30,25.000
konae,NYC2023,1,02:10:25,5,30,15.000
obhell,NYC2023,1,02:27:23,1,30,100.000
gilet,NYC2023,1,02:27:29,2,H,60.000
losha,NYC2023,1,02:27:33,3,H,40.000
kobri,NYC2023,1,02:27:45,4,H,25.000
ngmar,NYC2023,1,02:27:53,5,30,15.000
kijac,Chicago2025,1,02:02:23,1,24,100.000
kiamo,Chicago2025,1,02:03:54,2,33,75.000
maale,Chicago2025,1,02:04:37,3,28,50.000
macon,Chicago2025,1,02:04:43,4,28,30.000
eshus,Chicago2025,1,02:04:49,5,24,25.000
fehaw,Chicago2025,1,02:14:57,1,26,100.000
almeg,Chicago2025,1,02:17:18,2,27,75.000
shmag,Chicago2025,1,02:18:03,3,29,50.000
chloi,Chicago2025,1,02:18:24,4,28,30.000
ngmar,Chicago2025,1,02:19:26,5,36,25.000
kojoh,Chicago2024,1,02:02:44,1,27,100.000
eshus,Chicago2024,1,02:04:39,2,24,75.000
kiamo,Chicago2024,1,02:04:50,3,31,50.000
ngvin,Chicago2024,1,02:05:16,4,25,30.000
ebdan,Chicago2024,1,02:06:04,5,29,25.000
chrut,Chicago2024,1,02:09:56,1,30,100.000
assut,Chicago2024,1,02:17:32,2,29,75.000
chiri,Chicago2024,1,02:17:51,3,32,50.000
dibuz,Chicago2024,1,02:20:22,4,30,30.000
jejoy,Chicago2024,1,02:20:51,5,30,25.000
kikel,Chicago2023,1,02:00:35,1,23,100.000
kiben,Chicago2023,1,02:04:02,2,32,75.000
abbas,Chicago2023,1,02:04:32,3,34,50.000
korjoh,Chicago2023,1,02:05:09,4,26,30.000
tuabd,Chicago2023,1,02:05:29,5,26,25.000
hasif,Chicago2023,1,02:13:44,1,30,100.000
chrut,Chicago2023,1,02:15:37,2,29,75.000
almeg,Chicago2023,1,02:17:09,3,25,50.000
jejoy,Chicago2023,1,02:17:23,4,29,30.000
tenar,Chicago2023,1,02:20:04,5,22,25.000
sasab,London2025,1,02:02:27,1,30,55000
kijac,London2025,1,02:03:37,2,H,30000
muale,London2025,1,02:04:20,3,H,22500
naabd,London 2025,1,02:04:20,4,35,15.000
totam ,London 2025,1,02:04:42,5,30,10.000
astig,London2025,1,02:15:50,1,H,55000
jejoy,London2025,1,02:18:43,2,30,30000
hasif,London2025,1,02:18:59,3,30,22500
dehav ,London 2025,1,02:19:17,4,H,15.000
chviv ,London 2025,1,02:22:32,5,40,10.000
muale,London2024,1,02:04:01,1,H,55.000
beken,London2024,1,02:04:15,2,40,30.000
caemi,London2024,1,02:06:46,3,H,22.500
mamah ,London 2024,1,02:07:05,4,H,15.000
chhas ,London 2024,1,02:07:30,5,30,10.000
jeper,London2024,1,02:16:16,1,30,55.000
astig,London2024,1,02:16:23,2,H,30.000
jejoy,London2024,1,02:16:24,3,30,22.500
almeg ,London 2024,1,02:16:34,4,H,15.000
kobri,London 2024,1,02:19:02,5,30,10.000
kikel,London2023,1,02:01:25,1,H,55.000
kageo,London2023,1,02:04:23,2,30,30.000
totam,London2023,1,02:04:59,3,30,22.500
geleu,London 2023,1,02:05:45,4,30,15.000
tuabd,London 2023,1,02:06:38,5,H,10.000
hasif,London2023,1,02:18:33,1,30,55.000
meale,London2023,1,02:18:37,2,H,30.000
jeper,London2023,1,02:18:38,3,30,22.500
chshe ,London 2023,1,02:18:52,4,30,15.000
yeyal,London 2023,1,02:18:53,5,H,10.000
